date,asset,rolling_beta
2023-07-17,UNH,0.3598663670473882
2023-07-18,UNH,0.42237676329803264
2023-07-19,UNH,0.4233404376871431
2023-07-20,UNH,0.39580830250127547
2023-07-21,UNH,0.4032687800915045
2023-07-24,UNH,0.403172665433732
2023-07-25,UNH,0.40589135258812215
2023-07-26,UNH,0.4804242004645266
2023-07-27,UNH,0.4546929048149789
2023-07-28,UNH,0.38764632932663506
2023-07-31,UNH,0.38814871231913306
2023-08-01,UNH,0.3985805845320772
2023-08-02,UNH,0.3673998025248196
2023-08-03,UNH,0.34923094782348385
2023-08-04,UNH,0.3488797028891989
2023-08-07,UNH,0.3332470290627974
2023-08-08,UNH,0.35008299564691514
2023-08-09,UNH,0.35913698996887394
2023-08-10,UNH,0.36129821169148046
2023-08-11,UNH,0.35212547123144167
2023-08-14,UNH,0.3629216171868548
2023-08-15,UNH,0.39152743487860053
2023-08-16,UNH,0.36781447279332063
2023-08-17,UNH,0.3966182927226486
2023-08-18,UNH,0.4474798605114374
2023-08-21,UNH,0.43653914565045415
2023-08-22,UNH,0.44990923038449393
2023-08-23,UNH,0.4192782270621309
2023-08-24,UNH,0.42058709169012726
2023-08-25,UNH,0.4464086329860737
2023-08-28,UNH,0.4399615432442814
2023-08-29,UNH,0.4235506348791796
2023-08-30,UNH,0.4616635038578822
2023-08-31,UNH,0.4619488121486369
2023-09-01,UNH,0.42895008711564514
2023-09-05,UNH,0.40307316777722785
2023-09-06,UNH,0.427647511813673
2023-09-07,UNH,0.3867817043213661
2023-09-08,UNH,0.35560126193665914
2023-09-11,UNH,0.34221285122177175
2023-09-12,UNH,0.34976765030393
2023-09-13,UNH,0.3605697187159646
2023-09-14,UNH,0.39121407065065295
2023-09-15,UNH,0.2906012086895387
2023-09-18,UNH,0.2687848329371464
2023-09-19,UNH,0.32935376071190675
2023-09-20,UNH,0.27039531307144615
2023-09-21,UNH,0.14286119047642937
2023-09-22,UNH,0.12507435239521492
2023-09-25,UNH,0.1398468370552016
2023-09-26,UNH,0.16359149840096768
2023-09-27,UNH,0.16736263682742336
2023-09-28,UNH,0.18525163253944762
2023-09-29,UNH,0.17069877592570484
2023-10-02,UNH,0.17560789287377487
2023-10-03,UNH,0.20939681684792216
2023-10-04,UNH,0.197965569692049
2023-10-05,UNH,0.18597618949981007
2023-10-06,UNH,0.2329082485616681
2023-10-09,UNH,0.24041200584256528
2023-10-10,UNH,0.30249305744815247
2023-10-11,UNH,0.3337694459990774
2023-10-12,UNH,0.3334561418693104
2023-10-13,UNH,0.2896799651619831
2023-10-16,UNH,0.19086347942287402
2023-10-17,UNH,0.18518605086832404
2023-10-18,UNH,0.1865790532061928
2023-10-19,UNH,0.20427285480110535
2023-10-20,UNH,0.2238540519752681
2023-10-23,UNH,0.22230544420849585
2023-10-24,UNH,0.2348307325285687
2023-10-25,UNH,0.1830913438935364
2023-10-26,UNH,0.213172213303801
2023-10-27,UNH,0.21383847775685783
2023-10-30,UNH,0.2354231325532243
2023-10-31,UNH,0.25838358247425747
2023-11-01,UNH,0.2237607843886993
2023-11-02,UNH,0.2340533585700338
2023-11-03,UNH,0.1767871609167759
2023-11-06,UNH,0.17005985850523617
2023-11-07,UNH,0.16373319985397353
2023-11-08,UNH,0.16276140690918775
2023-11-09,UNH,0.15562339228246824
2023-11-10,UNH,0.15280295779594438
2023-11-13,UNH,0.13214848660036188
2023-11-14,UNH,0.09025476234110742
2023-11-15,UNH,0.05357818238868097
2023-11-16,UNH,0.05390230854156394
2023-11-17,UNH,0.05684912958913951
2023-11-20,UNH,0.04214869987720902
2023-11-21,UNH,0.05646115021110492
2023-11-22,UNH,0.04854573481842272
2023-11-24,UNH,0.048588238039197276
2023-11-27,UNH,0.049944016511783165
2023-11-28,UNH,0.046052646900818374
2023-11-29,UNH,0.053021058915133784
2023-11-30,UNH,0.06800015427090755
2023-12-01,UNH,0.05554042906372218
2023-12-04,UNH,0.06416444375144414
2023-12-05,UNH,0.04632991723682078
2023-12-06,UNH,0.06269678079427875
2023-12-07,UNH,0.055756363972166316
2023-12-08,UNH,0.06420689774522788
2023-12-11,UNH,0.05203468598753793
2023-12-12,UNH,0.05369500942184546
2023-12-13,UNH,0.05371920268327893
2023-12-14,UNH,0.05409674056422591
2023-12-15,UNH,0.05861908742649384
2023-12-18,UNH,0.036982874219920255
2023-12-19,UNH,0.09026196986416361
2023-12-20,UNH,0.23904811416878116
2023-12-21,UNH,0.259648660874102
2023-12-22,UNH,0.25483106666165
2023-12-26,UNH,0.2274487370210712
2023-12-27,UNH,0.22588495128688585
2023-12-28,UNH,0.21207643314702357
2023-12-29,UNH,0.19446760700645999
2024-01-02,UNH,0.15587899739689573
2024-01-03,UNH,0.10353255511517247
2024-01-04,UNH,0.09471756191123905
2024-01-05,UNH,0.10170825172390688
2024-01-08,UNH,0.04634849917145111
2024-01-09,UNH,0.040106068586124324
2024-01-10,UNH,0.042874308765014114
2024-01-11,UNH,0.04163870888949156
2024-01-12,UNH,0.05586574331617943
2024-01-16,UNH,0.1131052842296327
2024-01-17,UNH,0.09613330828601403
2024-01-18,UNH,0.059606097969250885
2024-01-19,UNH,-0.016746964290687588
2024-01-22,UNH,-0.04172155378084966
2024-01-23,UNH,-0.08272116623148279
2024-01-24,UNH,-0.09501636952629036
2024-01-25,UNH,-0.14658036334099084
2024-01-26,UNH,-0.12342088328279253
2024-01-29,UNH,-0.1419158124561567
2024-01-30,UNH,-0.16131049142926218
2024-01-31,UNH,-0.2933058112508252
2024-02-01,UNH,-0.32841448082989955
2024-02-02,UNH,-0.2913559578149341
2024-02-05,UNH,-0.3457143151194816
2024-02-06,UNH,-0.32332204941657405
2024-02-07,UNH,-0.2781307888844092
2024-02-08,UNH,-0.2810813601094447
2024-02-09,UNH,-0.2851468173940059
2024-02-12,UNH,-0.27644264420708736
2024-02-13,UNH,-0.2868539843060219
2024-02-14,UNH,-0.2768256488626709
2024-02-15,UNH,-0.26799457110055697
2024-02-16,UNH,-0.26725146462611354
2024-02-20,UNH,-0.2595859308360475
2024-02-21,UNH,-0.26116053939608064
2024-02-22,UNH,-0.16713101299288707
2024-02-23,UNH,-0.15630859088156152
2024-02-26,UNH,-0.15420388629675075
2024-02-27,UNH,-0.15205196467193685
2024-02-28,UNH,-0.12766080244351868
