date,AAPL,AMZN,JPM,MSFT,NVDA,SPY,UNH,XOM
2022-06-30,134.0294647216797,106.20999908447266,101.76760864257812,248.49156188964844,15.11703109741211,358.5238037109375,479.4987487792969,74.88088989257812
2022-07-01,136.1959686279297,109.55999755859376,103.06897735595705,251.15228271484372,14.482792854309082,362.3157958984375,483.018310546875,76.55093383789062
2022-07-05,138.77426147460938,113.5,102.67692565917967,254.31613159179688,14.922572135925291,363.0000305175781,471.6662902832031,74.1551742553711
2022-07-06,140.1074676513672,114.33000183105467,102.01138305664062,257.56695556640625,15.088109016418455,364.2259521484375,481.0484619140625,72.8173828125
2022-07-07,143.47000122070312,116.33000183105467,104.59153747558594,259.6858825683594,15.81409740447998,369.6810607910156,480.1989135742188,75.1432113647461
2022-07-08,144.1463623046875,115.54000091552734,104.2633056640625,258.96990966796875,15.794151306152344,369.376953125,484.1665344238281,75.26563262939453
2022-07-11,142.01910400390625,111.75,102.89572143554688,255.9221649169922,15.110051155090332,365.1573486328125,482.5982055664063,74.88088989257812
2022-07-12,142.98960876464844,109.22000122070312,102.99601745605467,245.43414306640625,15.04024600982666,361.9261779785156,480.2362365722656,73.88410186767578
2022-07-13,142.6268768310547,110.4000015258789,102.02960968017578,244.51502990722656,15.122017860412598,360.0254211425781,467.93206787109375,74.181396484375
2022-07-14,145.54823303222656,110.62999725341795,98.46482849121094,245.8308258056641,15.329442977905272,359.1510925292969,469.04302978515625,72.6949691772461
2022-07-15,147.21478271484375,113.5500030517578,102.97779083251952,248.38511657714844,15.71836280822754,366.0127258300781,494.5475769042969,73.91908264160156
2022-07-18,144.17576599121094,113.76000213623048,101.92020416259766,245.99530029296875,16.05642318725586,362.9905700683594,484.8572998046875,75.28309631347656
2022-07-19,148.02845764160156,118.20999908447266,104.44564056396484,251.1038818359375,16.944957733154297,372.7982482910156,498.0017395019531,77.18048095703125
2022-07-20,150.02830505371094,122.7699966430664,104.42740631103516,253.7549285888672,17.75769805908203,375.1741638183594,484.9506530761719,78.02862548828125
2022-07-21,152.29290771484375,124.62999725341795,105.13854217529295,256.24151611328125,18.000024795532227,378.9945983886719,487.7420043945313,76.72581481933594
2022-07-22,151.05763244628906,122.41999816894533,104.62798309326172,251.90692138671875,17.27104949951172,375.4783020019531,486.7617492675781,76.13997650146484
2022-07-25,149.94007873535156,121.13999938964844,105.04737854003906,250.4266357421875,16.976865768432617,375.9344482421875,494.2861022949219,78.6756591796875
2022-07-26,148.61663818359375,114.80999755859376,103.40628814697266,243.7216033935547,16.487226486206055,371.48675537109375,496.265380859375,78.36962890625
2022-07-27,153.70452880859375,120.97000122070312,105.06560516357422,260.0148620605469,17.740747451782227,381.1329040527344,499.0845642089844,80.06590270996094
2022-07-28,154.2534942626953,122.27999877929688,104.67356872558594,267.4358825683594,17.93421173095703,385.9132690429688,505.5073852539063,81.00145721435547
